iter	Passed	Remaining
709	77205	31534
710	77317	31427
711	77410	31311
712	77507	31198
713	77627	31094
714	77752	30992
715	77877	30890
716	77980	30778
717	78068	30662
718	78158	30546
719	78256	30433
720	78360	30322
721	78447	30205
722	78568	30101
723	78686	29996
724	78783	29883
725	78899	29777
726	78997	29664
727	79120	29561
728	79204	29443
729	79310	29334
730	79424	29227
731	79536	29119
732	79667	29019
733	79809	28922
734	79913	28812
735	80047	28712
736	80147	28600
737	80260	28493
738	80348	28377
739	80434	28260
740	80514	28142
741	80604	28026
742	80742	27928
743	80877	27828
744	80996	27723
745	81121	27620
746	81304	27536
747	81442	27437
748	81553	27329
749	81695	27231
750	81829	27131
751	81926	27018
752	82022	26905
753	82162	26806
754	82292	26704
755	82392	26592
756	82504	26484
757	82623	26378
758	82724	26267
759	82811	26150
760	82894	26034
761	82981	25918
762	83068	25802
763	83231	25710
764	83365	25609
765	83461	25496
766	83559	25383
767	83658	25271
768	83753	25158
769	83835	25041
770	83912	24923
771	84003	24809
772	84093	24694
773	84219	24591
774	84298	24473
775	84388	24359
776	84478	24245
777	84567	24131
778	84651	24015
779	84732	23898
780	84825	23786
781	84928	23675
782	85020	23562
783	85116	23450
784	85290	23359
785	85389	23248
786	85522	23146
787	85629	23037
788	85758	22934
789	85839	22818
790	85939	22707
791	86039	22596
792	86130	22483
793	86214	22367
794	86305	22254
795	86415	22146
796	86556	22046
797	86637	21930
798	86743	21821
799	86860	21715
800	86964	21605
801	87040	21488
802	87119	21373
803	87257	21271
804	87369	21164
805	87456	21050
806	87542	20936
807	87634	20824
808	87741	20715
809	87855	20608
810	87941	20494
811	88020	20379
812	88100	20264
813	88194	20152
814	88321	20048
815	88421	19938
816	88503	19823
817	88583	19709
818	88652	19592
819	88723	19475
820	88794	19359
821	88907	19252
822	89004	19141
823	89094	19029
824	89192	18919
825	89279	18806
826	89364	18694
827	89439	18579
828	89536	18468
829	89639	18359
830	89720	18246
831	89882	18149
832	89954	18034
833	90036	17920
834	90166	17817
835	90265	17707
836	90368	17598
837	90445	17484
838	90535	17373
839	90621	17261
840	90699	17147
841	90803	17039
842	90895	16928
843	90993	16818
844	91090	16708
845	91197	16601
846	91317	16495
847	91408	16384
848	91515	16276
849	91606	16165
850	91695	16054
851	91805	15947
852	91905	15838
853	92018	15731
854	92152	15628
855	92257	15519
856	92349	15409
857	92433	15297
858	92527	15187
859	92622	15078
860	92744	14972
861	92840	14863
862	92932	14752
863	93032	14644
864	93124	14533
865	93226	14425
866	93328	14316
867	93423	14207
868	93512	14096
869	93595	13985
870	93726	13881
871	93862	13777
872	93992	13673
873	94092	13564
874	94171	13453
875	94278	13345
876	94386	13237
877	94479	13128
878	94588	13020
879	94699	12913
880	94826	12808
881	94952	12703
882	95076	12597
883	95223	12495
884	95347	12389
885	95447	12281
886	95575	12175
887	95672	12066
888	95762	11956
889	95857	11847
890	95944	11737
891	96078	11632
892	96177	11524
893	96268	11414
894	96352	11303
895	96430	11192
896	96524	11083
897	96600	10972
898	96725	10866
899	96804	10756
900	96878	10644
901	96958	10534
902	97046	10424
903	97133	10315
904	97221	10205
905	97351	10100
906	97452	9992
907	97566	9885
908	97651	9775
909	97740	9666
910	97823	9556
911	97931	9449
912	98029	9341
913	98116	9232
914	98202	9122
915	98292	9013
916	98376	8904
917	98461	8795
918	98538	8685
919	98612	8574
920	98697	8465
921	98769	8355
922	98843	8245
923	98940	8137
924	99036	8030
925	99115	7920
926	99211	7812
927	99290	7703
928	99378	7595
929	99461	7486
930	99565	7379
931	99644	7270
932	99714	7160
933	99884	7058
934	99976	6950
935	100094	6844
936	100190	6736
937	100315	6630
938	100431	6524
939	100558	6418
940	100661	6311
941	100779	6205
942	100889	6098
943	100978	5990
944	101082	5883
945	101169	5775
946	101249	5666
947	101335	5558
948	101424	5450
949	101502	5342
950	101582	5234
951	101666	5126
952	101753	5018
953	101849	4910
954	101939	4803
955	102045	4696
956	102167	4590
957	102263	4483
958	102347	4375
959	102422	4267
960	102519	4160
961	102597	4052
962	102691	3945
963	102778	3838
964	102868	3730
965	102982	3624
966	103109	3518
967	103229	3412
968	103309	3305
969	103399	3197
970	103481	3090
971	103575	2983
972	103674	2876
973	103761	2769
974	103844	2662
975	103936	2555
976	104009	2448
977	104101	2341
978	104175	2234
979	104265	2127
980	104340	2020
981	104428	1914
982	104520	1807
983	104617	1701
984	104703	1594
985	104781	1487
986	104865	1381
987	104981	1275
988	105097	1168
989	105173	1062
990	105264	955
991	105365	849
992	105457	743
993	105546	637
994	105636	530
995	105730	424
996	105857	318
997	105938	212
998	106027	106
999	106103	0
